DATA/PARCELA/VALOR DISTRIBUIDO
, RETENCAO PASEP, 4.203_55D
, CFH-REC.HIDRICO, 420.355_91C
, , 
, DEBITO FUNDO, 4.203_55D
, CREDITO FUNDO, 420.355_91C
FEB   - FUNDEB-FNDO MANUT DES EDUC BASICA E VAL PROF, , 
DATA, PARCELA, VALOR DISTRIBUIDO
, , 
04.11.2025, ORIGEM IPVA, 1.606.816_01C
, ORIGEM ITCMD, 1.929.668_23C
, ORIGEM ICMS EST, 14.544.029_74C
, TOTAL NA DATA, 18.080.513_98C
, , 
10.11.2025, REF.IPI-EXPORT., 16.672.415_75C
, IPI-REDISTRIB., 16.672.415_75D
, ORIGEM ITR, 20.018_60C
, ORIGEM IPI-EXP, 4.234.509_73C
, ORIGEM FPE, 9.520.069_92C
, ORIGEM FPM, 17.437.559_19C
, ORIG LC 198/23, 22.585_48C
, TOTAL NA DATA, 31.234.742_92C
, , 
11.11.2025, ORIGEM IPVA, 2.078.711_49C
, ORIGEM ITCMD, 2.111.420_43C
, ORIGEM ICMS EST, 38.740.517_76C
, TOTAL NA DATA, 42.930.649_68C
, , 
TOTAL POR PARCELA / NATUREZA, , 
, , 
, REF.IPI-EXPORT., 16.672.415_75C
, IPI-REDISTRIB., 16.672.415_75D
, ORIGEM ITR, 20.018_60C
, ORIGEM IPVA, 3.685.527_50C
, ORIGEM ITCMD, 4.041.088_66C
, ORIGEM IPI-EXP, 4.234.509_73C
, ORIGEM ICMS EST, 53.284.547_50C
, ORIGEM FPE, 9.520.069_92C
, ORIGEM FPM, 17.437.559_19C
, ORIG LC 198/23, 22.585_48C
, , 
, DEBITO FUNDO, 16.672.415_75D
, CREDITO FUNDO, 108.918.322_33C
SNA   - SIMPLES NACIONAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
, , 
03.11.2025, SIMPLES NACION., 2.033.008_53C
, TOTAL NA DATA, 2.033.008_53C
, , 
04.11.2025, SIMPLES NACION., 7.813.487_66C
, TOTAL NA DATA, 7.813.487_66C
, , 
05.11.2025, SIMPLES NACION., 485.785_45C
, TOTAL NA DATA, 485.785_45C
, , 
06.11.2025, SIMPLES NACION., 490.101_22C
, TOTAL NA DATA, 490.101_22C
, , 
07.11.2025, SIMPLES NACION., 448.403_54C
, TOTAL NA DATA, 448.403_54C
, , 
10.11.2025, SIMPLES NACION., 426.756_04C
, TOTAL NA DATA, 426.756_04C
, , 
11.11.2025, SIMPLES NACION., 458.349_20C
, TOTAL NA DATA, 458.349_20C
, , 
12.11.2025, SIMPLES NACION., 900.921_70C
, TOTAL NA DATA, 900.921_70C
, , 
TOTAL POR PARCELA / NATUREZA, , 
, , 
, SIMPLES NACION., 13.056.813_34C
, , 
, DEBITO FUNDO, 0_00D
, CREDITO FUNDO, 13.056.813_34C
FCS   - FUNDO DE CONDICIONAMENTO DA SAUDE, , 
DATA, PARCELA, VALOR DISTRIBUIDO
, , 
10.11.2025, ORIGEM FPE, 22.489.861_72C
, TOTAL NA DATA, 22.489.861_72C
, , 
TOTAL POR PARCELA / NATUREZA, , 
, , 
, ORIGEM FPE, 22.489.861_72C
, , 
, DEBITO FUNDO, 0_00D
, CREDITO FUNDO, 22.489.861_72C
, , 
TOTAL DISTRIBUIDO NO PERIODO, , 
, , 
, DEBITO BENEF., 95.989.310_54D
, CREDITO BENEF., 428.288.863_73C
